product_id,product_name,brand_id,category_id,model_year,list_price,extract_time,source_name
1,Trek 820 - 2016,9,6,2016,379.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
9,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
10,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
15,Electra Moto 1 - 2016,1,3,2016,529.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449.0,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 23:48:30.325674,/home/malak/bikestore_dim/products/products.csv
